carat,cut,color,clarity,depth,table,x,y,z,is_over_$1000
0.73,3,1,4,63.2,58,5.7,5.76,3.62,1
0.81,4,4,1,61.3,59,5.94,6.01,3.66,1
0.81,4,1,4,60.3,60,6.07,6.1,3.67,1
0.71,2,7,4,62.7,60,5.67,5.71,3.57,1
0.71,2,7,4,61.3,58,5.73,5.75,3.52,1
0.71,2,7,4,61.6,60,5.74,5.69,3.52,1
0.57,1,5,2,61.9,55,5.34,5.35,3.31,1
0.51,1,7,6,61.7,56,5.12,5.16,3.17,1
0.72,1,6,3,61.9,58,5.72,5.75,3.55,1
0.74,1,4,5,61.8,58,5.77,5.81,3.58,1
0.74,1,4,5,61.6,56,5.81,5.82,3.58,1
0.7,5,6,6,58.8,66,5.81,5.9,3.44,1
0.8,2,5,1,61,57,6.03,6.01,3.67,1
1.01,5,1,1,67.4,60,6.19,6.05,4.13,1
0.8,4,4,3,63.4,60,5.92,5.82,3.72,1
0.77,1,3,5,61.5,59,5.87,5.91,3.62,1
0.83,4,1,1,58,62,6.19,6.25,3.61,1
0.82,1,5,1,62.4,54,5.97,6.02,3.74,1
0.78,1,7,4,61.9,57,5.91,5.86,3.64,1
0.6,4,6,8,61.6,56,5.43,5.46,3.35,1
0.9,3,3,1,62.2,59,6.07,6.11,3.79,1
0.7,2,1,5,62.2,58,5.6,5.66,3.5,1
0.9,4,3,1,61.3,56,6.17,6.23,3.8,1
0.83,1,6,4,62.3,57,5.99,6.08,3.76,1
0.83,1,6,4,61.8,57,6.03,6.07,3.74,1
0.83,4,4,4,62.5,59,5.95,6.02,3.74,1
0.74,2,6,5,62.9,60,5.74,5.68,3.59,1
0.79,1,3,5,61.8,59,5.92,5.95,3.67,1
0.61,1,6,8,62.3,56,5.43,5.45,3.39,1
0.76,5,6,5,59,70,5.89,5.8,3.46,1
0.96,1,5,7,60.7,55,6.37,6.41,3.88,1
0.73,1,5,3,62.5,55,5.8,5.76,3.61,1
0.73,2,5,3,62.7,58,5.76,5.7,3.59,1
0.75,1,4,4,60.4,57,5.93,5.96,3.59,1
0.71,2,5,3,62.1,58,5.7,5.67,3.53,1
0.71,3,5,3,57.8,60,5.9,5.87,3.4,1
0.71,3,5,3,63.8,58,5.64,5.61,3.59,1
0.71,2,5,3,62.8,57,5.69,5.64,3.56,1
1.04,2,6,7,62.2,58,6.46,6.41,4,1
1,2,2,1,62.3,58,6.45,6.34,3.98,1
0.87,4,6,1,59.9,58,6.19,6.23,3.72,1
0.53,1,5,8,61.9,54,5.22,5.25,3.24,1
0.72,2,1,3,63,55,5.79,5.61,3.59,1
0.72,2,5,5,62.4,58,5.83,5.7,3.6,1
0.7,4,5,3,62.9,58,5.63,5.65,3.55,1
0.74,4,1,4,63.5,56,5.74,5.79,3.66,1
0.71,1,6,3,61.3,56,5.75,5.71,3.51,1
0.73,1,1,4,60.6,54,5.84,5.89,3.55,1
0.7,3,6,5,65.1,58,5.56,5.59,3.63,1
0.71,2,5,3,62.6,58,5.7,5.67,3.56,1
0.71,2,5,3,58,62,5.85,5.81,3.38,1
0.71,2,6,5,62.4,61,5.7,5.65,3.54,1
0.77,2,6,3,61.3,57,5.93,5.88,3.62,1
0.71,2,6,3,59.9,60,5.81,5.77,3.47,1
0.78,2,6,3,60.8,58,6.03,5.95,3.64,1
0.71,4,6,5,63.5,55,5.66,5.64,3.59,1
0.91,1,7,1,62.2,57,6.21,6.15,3.85,1
0.71,4,1,3,63.8,58,5.62,5.66,3.6,1
0.71,4,1,3,64,57,5.66,5.68,3.63,1
0.8,4,1,1,62.5,56,5.88,5.96,3.7,1
0.7,4,7,4,62.3,58,5.69,5.73,3.56,1
0.72,1,5,5,61.7,57,5.74,5.77,3.55,1
0.72,4,5,5,62.2,58,5.75,5.7,3.56,1
0.82,1,4,3,61.5,56,6.01,6.08,3.72,1
0.7,1,7,4,61,59,5.68,5.7,3.47,1
0.72,1,7,4,62.2,56,5.74,5.77,3.58,1
0.72,1,7,4,61.5,54,5.77,5.8,3.56,1
0.9,5,3,4,67.3,59,5.93,5.84,3.96,1
0.74,2,5,3,61.7,58,5.85,5.78,3.59,1
0.74,2,5,3,61.9,56,5.8,5.77,3.58,1
0.73,1,1,1,61.8,58,5.77,5.81,3.58,1
0.57,5,1,6,58.7,66,5.34,5.43,3.16,1
0.73,2,5,3,62.5,57,5.75,5.7,3.58,1
0.72,1,6,3,62.8,56,5.74,5.7,3.59,1
0.74,5,5,3,61.1,68,5.82,5.75,3.53,1
0.82,3,6,3,64,57,5.92,5.89,3.78,1
0.81,4,6,4,62.5,60,5.89,5.94,3.69,1
0.75,4,4,6,60.6,58,5.85,5.9,3.56,1
0.7,1,5,4,61.6,55,5.72,5.74,3.53,1
0.71,4,5,5,62.2,58,5.66,5.72,3.54,1
0.71,4,5,5,60,57,5.84,5.9,3.52,1
0.93,2,2,1,61.9,57,6.21,6.19,3.84,1
0.8,4,4,3,62.8,57,5.87,5.91,3.7,1
0.7,4,5,5,62,57,5.64,5.71,3.52,1
1,5,6,7,66.4,59,6.16,6.09,4.07,1
0.75,4,6,3,63.4,56,5.78,5.74,3.65,1
0.58,1,1,2,60.9,56,5.41,5.43,3.3,1
0.73,4,7,4,63.1,57,5.74,5.7,3.61,1
0.81,4,5,4,63.1,59,5.85,5.79,3.67,1
0.81,2,7,1,59.2,57,6.15,6.05,3.61,1
0.71,2,5,4,60.7,54,5.84,5.8,3.53,1
1.2,5,5,7,64.6,56,6.73,6.66,4.33,1
0.7,4,5,5,61.8,56,5.63,5.7,3.5,1
0.7,4,5,5,59.9,60,5.77,5.84,3.48,1
0.74,1,7,1,61.7,55,5.81,5.85,3.6,1
0.7,3,5,5,62.8,61,5.57,5.61,3.51,1
0.8,3,6,4,62.7,57,5.84,5.93,3.69,1
0.75,4,5,4,63.4,58,5.72,5.76,3.64,1
0.83,4,7,4,63.5,54,5.98,5.95,3.79,1
1,5,2,3,65.7,59,6.14,6.07,4.01,1
0.99,5,3,1,68.1,56,6.21,6.06,4.18,1
0.7,4,6,5,63,60,5.57,5.64,3.53,1
0.7,4,5,3,59.5,58,5.75,5.85,3.45,1
0.7,3,1,4,63.5,59,5.49,5.53,3.5,1
0.7,4,5,3,61.7,58,5.63,5.69,3.49,1
0.32,2,3,4,62.7,58,4.37,4.34,2.73,0
0.32,2,3,4,62.8,58,4.39,4.34,2.74,0
0.32,1,3,4,62.4,57,4.37,4.35,2.72,0
0.32,2,3,4,61,59,4.39,4.36,2.67,0
0.32,4,3,4,63.1,56,4.39,4.36,2.76,0
0.32,1,3,4,60.7,57,4.47,4.42,2.7,0
0.3,2,4,4,60.9,59,4.31,4.29,2.62,0
0.3,2,4,4,60.1,55,4.41,4.38,2.64,0
0.3,2,4,4,62.9,58,4.28,4.24,2.68,0
0.3,4,4,4,63.3,56,4.29,4.27,2.71,0
0.3,3,4,4,63.8,55,4.26,4.2,2.7,0
0.3,1,4,4,62.9,57,4.27,4.22,2.67,0
0.3,4,4,4,63.4,60,4.25,4.23,2.69,0
0.32,3,3,4,63.9,55,4.36,4.34,2.78,0
0.33,1,4,1,61.4,56,4.85,4.79,2.95,0
0.29,4,1,5,61.9,55,4.28,4.33,2.66,0
0.29,4,1,5,62.4,55,4.2,4.25,2.63,0
0.31,4,5,4,61.8,58,4.32,4.35,2.68,0
0.34,1,4,3,61.5,56,4.47,4.5,2.76,0
0.34,1,4,3,60.4,57,4.54,4.57,2.75,0
0.34,1,3,5,61.8,55,4.48,4.52,2.78,0
0.34,1,3,5,62,56,4.5,4.53,2.8,0
0.3,1,6,5,62.3,56,4.29,4.31,2.68,0
0.29,1,5,5,61.6,56,4.26,4.31,2.64,0
0.35,1,6,4,60.6,56,4.56,4.58,2.77,0
0.43,4,1,7,58.4,62,4.94,5,2.9,0
0.32,4,5,3,61.4,58,4.37,4.42,2.7,0
0.36,1,3,3,61.9,56,4.54,4.57,2.82,0
0.3,1,6,3,62,56,4.28,4.3,2.66,0
0.26,1,1,5,61.5,57,4.09,4.12,2.52,0
0.7,4,5,3,62.3,58,5.64,5.72,3.54,1
0.7,4,5,3,60.9,61,5.66,5.71,3.46,1
0.71,1,7,4,62.4,57,5.69,5.72,3.56,1
0.99,5,2,4,55,61,6.72,6.67,3.68,1
0.73,2,1,3,58.6,60,5.92,5.89,3.46,1
0.51,1,5,6,62,57,5.15,5.11,3.18,1
0.91,2,6,1,59.8,58,6.3,6.29,3.77,1
0.84,4,1,4,63.4,55,6,5.95,3.79,1
0.91,3,3,3,64.3,58,6.09,6.05,3.9,1
0.76,2,1,4,62.2,59,5.86,5.81,3.63,1
0.76,1,1,4,61.7,57,5.88,5.85,3.62,1
0.75,2,1,4,61.1,59,5.86,5.83,3.57,1
0.55,4,7,6,61.5,56,5.23,5.27,3.23,1
0.76,4,5,1,58.5,62,5.93,6.01,3.49,1
0.74,2,6,5,61.7,58,5.79,5.81,3.58,1
0.7,1,4,4,60.4,56,5.75,5.81,3.49,1
0.7,1,4,4,61.4,56,5.7,5.76,3.52,1
0.7,1,4,4,61.5,55,5.73,5.79,3.54,1
0.7,1,4,4,61.4,56,5.72,5.77,3.53,1
0.9,5,2,3,65,56,6.08,6.04,3.94,1
0.95,5,5,1,56,60,6.62,6.53,3.68,1
0.89,2,4,1,60.2,59,6.26,6.23,3.76,1
0.72,2,1,3,58.3,58,5.99,5.92,3.47,1
0.96,5,1,1,53.1,63,6.73,6.65,3.55,1
1.02,2,6,7,60.3,58,6.55,6.5,3.94,1
0.78,4,3,2,61.4,56,5.91,5.95,3.64,1
0.61,1,6,2,60.1,57,5.52,5.54,3.32,1
0.71,3,7,5,63.4,55,5.61,5.69,3.58,1
0.78,2,5,4,61.5,59,5.96,5.88,3.64,1
0.87,1,4,1,62.7,56,6.16,6.13,3.85,1
0.83,1,4,4,62.5,55,6.04,6,3.76,1
0.71,2,1,4,61.3,56,5.78,5.73,3.53,1
0.71,1,3,2,60.2,56,5.84,5.89,3.53,1
0.71,1,1,3,62.7,57,5.66,5.64,3.54,1
0.71,2,1,3,62.3,58,5.69,5.65,3.53,1
0.63,1,5,2,61.5,56,5.48,5.52,3.38,1
0.71,2,1,4,59.2,59,5.86,5.83,3.46,1
0.71,2,1,4,61.8,59,5.75,5.7,3.54,1
0.71,1,1,4,61.3,55,5.77,5.72,3.52,1
0.71,2,1,4,61.4,58,5.77,5.73,3.53,1
0.9,1,2,3,62.8,55,6.2,6.16,3.88,1
0.71,3,1,4,62.8,64,5.6,5.54,3.5,1
0.7,2,1,3,62.4,61,5.66,5.63,3.52,1
0.7,2,1,3,59.3,60,5.78,5.73,3.41,1
0.7,2,1,3,63,60,5.64,5.6,3.54,1
1,2,4,7,61.3,60,6.43,6.39,3.93,1
0.86,2,5,1,59.3,62,6.36,6.22,3.73,1
0.8,1,4,4,61,57,6.07,6,3.68,1
